timestamp,open,high,low,close,volume,trades
06/10/2013,122,122,122,122,0.1,1
07/10/2013,123.61,123.61,123.61,123.61,0.1,1
08/10/2013,123.91,124.19,123.9,124.18,3.9916,4
09/10/2013,124.01687,124.01687,123.84,123.84,2.823,3
10/10/2013,125.85,125.86,125.85,125.86,2,2
12/10/2013,127.5,127.5,127,127,4,3
13/10/2013,131.8408,131.8408,131.8408,131.8408,0.1,1
14/10/2013,134.8,135.59,133.36726,135.59,12.00575337,11
15/10/2013,135.8,153,133.87975,133.87975,4.3,5
16/10/2013,143,146.14,137.63758,138.09,20.229,17
17/10/2013,137.62448,144.73,137.52,143.79522,5.777,6
18/10/2013,146.2399,153.80147,146.2399,149.04856,23.551,23
19/10/2013,157.74,171.25,157.64,165.56,72.545,66
20/10/2013,166.52626,166.52626,162.981,162.981,4.84841803,5
21/10/2013,165,176.65277,165,176.32429,18.30269,19
22/10/2013,181.97,194.2,150,150,7.37587686,7
23/10/2013,191.62198,203.45,185.90287,203.45,39.22,39
24/10/2013,203.67412,207.30246,169.9201,193.0999,83.72097523,90
25/10/2013,172.27,186.8,171.97,186.0499,67.2,39
26/10/2013,185.8,185.8,179.8656,184.58,11,10
27/10/2013,182.3,191.3,179.23624,191,69.90739,51
29/10/2013,195,195,195,195,0.62564102,1
30/10/2013,195,203.94,195,203.77,9.72274898,12
31/10/2013,199,202.27,199,202.1,2.26,6
01/11/2013,203.59999,207.96822,202.9,202.9,33.98053314,117
02/11/2013,202.68,204.24,201.04,203.51,7.05555555,13
03/11/2013,204.662,209.748,203.47,209.748,9.58525942,120
04/11/2013,209.748,229.97,209.4001,226.9001,71.17542108,484
05/11/2013,227.39493,250.14053,222.05236,244.95532,25.22136406,309
06/11/2013,245.69019,269.42566,245.69019,263.73672,49.46076368,274
07/11/2013,262.8628,348.4093,262.8628,289.62884,32.79999637,177
08/11/2013,295.51602,330.64785,295.51602,330.64785,6.22530641,24
09/11/2013,340,350,312.01,338.68,14.72330453,34
10/11/2013,321.9202,400,289.18978,317,45.8385494,63
11/11/2013,350.5738,362.5306,329.72864,340.725,17.97582053,28
12/11/2013,360,500,346.55506,355,50.9990239,51
13/11/2013,365,406,365,398,26.14386347,61
14/11/2013,405.55474,425.84138,404.8,425.62096,15.0963141,72
15/11/2013,421.62096,435,387.91236,410,100.3776618,160
16/11/2013,414.8989,444.50734,414.8989,438,23.29680432,29
17/11/2013,444.44,491.50107,430,491.50107,16.82612919,88
18/11/2013,496.36498,700,496.36498,700,41.09771376,294
19/11/2013,700,800,484,587.52083,54.89126149,522
20/11/2013,581.7009,636.94821,450,591.81,56.77094125,350
21/11/2013,600,720,583.11045,670.06042,72.06500951,401
22/11/2013,672.31667,810,642.70057,796.56582,18.09444637,357
23/11/2013,796.34865,904.0765,768.76234,830.75754,43.07371045,231
24/11/2013,838.97872,838.97872,760.38,808.33476,13.31504524,113
25/11/2013,805,818.36641,730,801.59886,10.85301152,272
26/11/2013,801.59886,900,768.58034,893.87025,13.84662167,351
27/11/2013,893.9,1081.09181,890,994.95,46.41314502,782
28/11/2013,994.95,1088.41486,935.0806,1000.32893,33.03036408,443
29/11/2013,1012.39302,1198.8009,1012.39302,1165.425,34.82728925,562
30/11/2013,1155.62219,1189.10145,1094.38283,1114.24001,22.76152285,365
01/12/2013,1112.01598,1130,770,953.72943,52.50557639,905
02/12/2013,952.89757,1059,946.14514,1022.9544,36.88923603,369
03/12/2013,1031.15439,1076.52087,995.4975,1063.46318,23.27089023,340
04/12/2013,1051.2966,1120,981.75885,1079.93122,40.35283498,539
05/12/2013,1088.62278,1110,855.7,1032.05233,64.63659979,607
06/12/2013,1032.05233,1065.22702,838.51515,864.78197,62.70884907,1016
07/12/2013,866.89118,950,600.96141,699.42201,122.5319077,1362
08/12/2013,693.64295,801.45651,670.004,795.61257,47.86979453,382
09/12/2013,801.53386,914.29786,782.43239,899.72762,61.21825179,626
10/12/2013,899.72762,975.11,899.4394,959.11111,69.81681796,351
11/12/2013,954.64274,979.23,820,883.78144,43.04402339,437
12/12/2013,883.78144,919.07787,857.37669,873,7.80763188,114
13/12/2013,881.4786,916.59561,853.07,878.79707,26.09102401,236
14/12/2013,885.34561,885.34561,850,862.17448,12.19367696,128
15/12/2013,870.6966,885,820,863.71354,35.68524806,257
16/12/2013,863.70354,884,662.6585,709.93373,66.58353692,669
17/12/2013,715.659,758.84502,674.73714,702,60.74600195,420
18/12/2013,698.61378,698.61378,380,528,211.2074233,1830
19/12/2013,533.3138,700,517.62147,699.81249,39.80196826,533
20/12/2013,699.80249,718.21618,614.51908,665.44627,47.98477468,484
21/12/2013,656.24474,700,605,621.45299,11.70379853,195
22/12/2013,614.99785,681.38026,605,641.0361,54.24804243,392
23/12/2013,633.71842,680,633.71842,655.22662,27.57428664,232
